variable,%IncMSE
VEH,54.84612840724943
TEN,49.42356129592686
SCHL,43.69914161002787
ESR,43.285992772608765
NP,39.83491543501727
AGEP,37.7744544014909
MAR,29.616637963632513
RAC1P,18.619701529466305
DIS,15.097285595745822
SEX,3.9429499859975645
