DIS_label,n,mean_income,median_income,low_share,mid_share,high_share
No disability,12834,116667.32896992363,89000,0.17921146953405018,0.3814087579865981,0.4393797724793517
With disability,1978,75829.49848331648,52885,0.38877654196157735,0.38372093023255816,0.2275025278058645
