household_size_band,n,mean_income,median_income,low_share,mid_share,high_share
1,1698,50112.40871613663,36000,0.5353356890459364,0.35924617196702,0.10541813898704358
2,4543,103536.3134492626,76300,0.2106537530266344,0.4283513097072419,0.3609949372661237
3,2701,119489.2721214365,90000,0.15920029618659756,0.3861532765642355,0.454646427249167
4,2781,132715.27867673498,104000,0.12513484358144553,0.339086659475009,0.5357784969435455
5,1699,129146.01648028252,100000,0.14420247204237788,0.3502060035314891,0.505591524426133
6+,1390,129929.57553956835,99350,0.12949640287769784,0.37194244604316545,0.4985611510791367
