age_band,n,mean_income,median_income,low_share,mid_share,high_share
30–44,2675,115315.02056074767,92000,0.15401869158878503,0.388411214953271,0.4575700934579439
45–64,3992,122950.03957915831,92550,0.17935871743486975,0.3554609218436874,0.46518036072144286
65+,3101,88313.60141889713,61600,0.31344727507255726,0.40857787810383744,0.2779748468236053
Under 30,5044,113829.20935765265,86000,0.1921094369547978,0.3824345757335448,0.4254559873116574
