TEN_label,n,mean_income,median_income,low_share,mid_share,high_share
"Occupied, no rent paid",207,59456.95652173913,45900,0.42995169082125606,0.42995169082125606,0.14009661835748793
"Owned, with mortgage",7070,137642.7900990099,109050,0.09292786421499293,0.3531824611032532,0.5538896746817539
"Owned, without mortgage",3936,105151.25609756098,72000,0.24161585365853658,0.4054878048780488,0.35289634146341464
Rented,3599,68902.96971380939,52000,0.3812170047235343,0.4090025006946374,0.2097804945818283
