ESR_label,n,mean_income,median_income,low_share,mid_share,high_share
"Employed, at work",6894,124966.92573252103,98000,0.12082970699158689,0.38714824485059474,0.4920220481578184
"Employed with job, not at work",154,112507.4025974026,103150,0.16883116883116883,0.3116883116883117,0.5194805194805194
Unemployed,348,88907.41379310345,59070,0.33045977011494254,0.3936781609195402,0.27586206896551724
"Armed forces, at work",24,104543.75,67300,0.125,0.5,0.375
Not in labor force,4691,88045.27563419314,59600,0.3385205713067576,0.38371349392453635,0.27776593476870604
