VEH,n,mean_income,median_income,low_share,mid_share,high_share
0,724,63926.8093922652,35250,0.5386740331491713,0.255524861878453,0.2058011049723757
1,3237,67363.6669755947,46000,0.431263515600865,0.38801359283286996,0.18072289156626506
2,5997,117191.3743538436,89000,0.1485742871435718,0.41670835417708857,0.4347173586793397
3,3057,133120.55479228002,101700,0.09878966306836769,0.3830552829571475,0.5181550539744848
4,1197,147501.61236424395,121800,0.04845446950710108,0.3132832080200501,0.6382623224728488
5,406,159868.1527093596,132400,0.059113300492610835,0.27586206896551724,0.6650246305418719
6,194,163649.17525773196,138300,0.041237113402061855,0.28865979381443296,0.6701030927835051
